Year,Distance,Fuel,Seller_Type,isManual,Owner,Engine,Power,Seats,Price
2017,87150,4,1,1,1,1198.0,87.0,5.0,505000
2014,75000,1,3,1,2,1248.0,74.0,5.0,450000
2011,67000,4,3,1,1,1197.0,79.0,5.0,220000
2019,37500,4,3,1,1,1197.0,82.0,5.0,799000
2018,69000,1,3,1,1,2393.0,148.0,7.0,1950000
2017,73315,4,3,1,1,1373.0,91.0,5.0,675000
2015,47000,4,3,0,2,1991.0,181.0,5.0,1898999
2017,75000,1,3,0,2,1995.0,188.0,5.0,2650000
2017,56000,4,3,0,1,1798.0,177.0,5.0,1390000
2015,85000,1,3,1,1,1461.0,84.0,5.0,575000
2017,20281,4,3,1,1,1197.0,82.0,5.0,591000
2018,22541,4,3,1,1,999.0,67.0,5.0,459999
2019,30672,4,3,0,1,1462.0,103.0,5.0,1075000
2019,20856,1,3,1,1,1956.0,138.0,5.0,1695000
2017,41417,4,3,0,1,1197.0,103.0,5.0,944999
2016,11471,4,3,0,1,998.0,67.0,5.0,569000
2019,3583,4,3,1,1,796.0,47.0,5.0,449000
2018,21365,4,3,0,1,1197.0,82.0,5.0,894999
2020,30777,4,3,0,1,1197.0,82.0,5.0,699000
2016,60125,4,3,1,1,1591.0,122.0,5.0,740000
2020,2169,4,3,0,1,998.0,67.0,5.0,470000
2015,60240,4,3,0,1,1197.0,103.0,5.0,765000
2018,13772,4,3,0,1,1086.0,68.0,5.0,589000
2019,27464,4,3,1,1,998.0,118.0,5.0,999000
2019,47377,0,3,1,1,998.0,58.0,4.0,370000
2013,23086,4,3,1,1,1197.0,85.0,5.0,325000
2019,36313,4,3,1,1,1591.0,122.0,5.0,1175000
2014,39276,4,3,1,1,1198.0,87.0,5.0,351000
2015,47752,4,3,1,1,1197.0,82.0,5.0,551000
2018,27963,4,3,1,1,1199.0,89.0,5.0,819999
2020,24013,4,3,1,1,998.0,118.0,5.0,990000
2016,66000,1,3,0,1,1582.0,126.0,5.0,925000
2015,28000,4,3,1,1,999.0,124.0,5.0,535000
2009,72000,0,3,1,2,1086.0,62.0,5.0,145000
2018,27069,4,3,1,1,1199.0,84.0,5.0,409000
2018,43000,1,3,1,1,1047.0,69.0,5.0,490000
2019,71000,1,3,1,1,2393.0,148.0,8.0,1900000
2017,45600,1,3,0,2,2143.0,168.0,5.0,3850000
2018,60000,1,3,1,1,1582.0,126.0,5.0,1125000
2014,105101,1,3,0,1,2143.0,203.0,5.0,2300000
2016,45000,4,3,0,1,1798.0,138.0,5.0,1095000
2013,66000,1,3,0,1,1968.0,177.0,5.0,1575000
2010,34105,4,3,0,1,1796.0,165.0,2.0,2400000
2015,68397,4,3,1,1,1197.0,82.0,5.0,525000
2015,65000,1,3,1,2,2498.0,105.0,6.0,625000
2019,27469,4,3,1,1,1197.0,83.0,5.0,605000
2016,41058,4,3,0,1,998.0,67.0,5.0,412000
2016,51330,1,3,1,1,1248.0,89.0,5.0,625000
2015,45969,4,3,1,1,1373.0,91.0,5.0,511000
2017,66602,1,3,0,1,1582.0,126.0,5.0,1150000
2016,57983,4,3,1,1,1591.0,122.0,5.0,885000
2019,11183,4,3,0,1,999.0,67.0,5.0,470000
