Year,Distance,Fuel,Seller_Type,Transmission,Owner,Engine,Power,Seats,Price
2017,87150,Petrol,Corporate,Manual,First,1198 cc,87 bhp @ 6000 rpm,5,505000
2014,75000,Diesel,Individual,Manual,Second,1248 cc,74 bhp @ 4000 rpm,5,450000
2011,67000,Petrol,Individual,Manual,First,1197 cc,79 bhp @ 6000 rpm,5,220000
2019,37500,Petrol,Individual,Manual,First,1197 cc,82 bhp @ 6000 rpm,5,799000
2018,69000,Diesel,Individual,Manual,First,2393 cc,148 bhp @ 3400 rpm,7,1950000
2017,73315,Petrol,Individual,Manual,First,1373 cc,91 bhp @ 6000 rpm,5,675000
2015,47000,Petrol,Individual,Automatic,Second,1991 cc,181 bhp @ 5500 rpm,5,1898999
2017,75000,Diesel,Individual,Automatic,Second,1995 cc,188 bhp @ 4000 rpm,5,2650000
2017,56000,Petrol,Individual,Automatic,First,1798 cc,177 bhp @ 5100 rpm,5,1390000
2015,85000,Diesel,Individual,Manual,First,1461 cc,84 bhp @ 3750 rpm,5,575000
2017,20281,Petrol,Individual,Manual,First,1197 cc,82 bhp @ 6000 rpm,5,591000
2018,22541,Petrol,Individual,Manual,First,999 cc,67 bhp @ 5500 rpm,5,459999
2019,30672,Petrol,Individual,Automatic,First,1462 cc,103 bhp @ 6000 rpm,5,1075000
2019,20856,Diesel,Individual,Manual,First,1956 cc,138 bhp @ 3750 rpm,5,1695000
2017,41417,Petrol,Individual,Automatic,First,1197 cc,103 bhp @ 5000 rpm,5,944999
2016,11471,Petrol,Individual,Automatic,First,998 cc,67 bhp @ 6000 rpm,5,569000
2019,3583,Petrol,Individual,Manual,First,796 cc,47 bhp @ 6000 rpm,5,449000
2018,21365,Petrol,Individual,Automatic,First,1197 cc,82 bhp @ 6000 rpm,5,894999
2020,30777,Petrol,Individual,Automatic,First,1197 cc,82 bhp @ 6000 rpm,5,699000
2016,60125,Petrol,Individual,Manual,First,1591 cc,122 bhp @ 6400 rpm,5,740000
2020,2169,Petrol,Individual,Automatic,First,998 cc,67 bhp @ 5500 rpm,5,470000
2015,60240,Petrol,Individual,Automatic,First,1197 cc,103 bhp @ 5000 rpm,5,765000
2018,13772,Petrol,Individual,Automatic,First,1086 cc,68 bhp @ 5500 rpm,5,589000
2019,27464,Petrol,Individual,Manual,First,998 cc,118 bhp @ 6000 rpm,5,999000
2019,47377,CNG,Individual,Manual,First,998 cc,58 bhp @ 6000 rpm,4,370000
2013,23086,Petrol,Individual,Manual,First,1197 cc,85 bhp @ 6000 rpm,5,325000
2019,36313,Petrol,Individual,Manual,First,1591 cc,122 bhp @ 6400 rpm,5,1175000
2014,39276,Petrol,Individual,Manual,First,1198 cc,87 bhp @ 6000 rpm,5,351000
2015,47752,Petrol,Individual,Manual,First,1197 cc,82 bhp @ 6000 rpm,5,551000
2018,27963,Petrol,Individual,Manual,First,1199 cc,89 bhp @ 6000 rpm,5,819999
2020,24013,Petrol,Individual,Manual,First,998 cc,118 bhp @ 6000 rpm,5,990000
2016,66000,Diesel,Individual,Automatic,First,1582 cc,126 bhp @ 4000 rpm,5,925000
2015,28000,Petrol,Individual,Manual,First,999 cc,124 bhp @ 6000 rpm,5,535000
2013,67000,Petrol,Individual,Automatic,First,,,,860000
2009,72000,CNG,Individual,Manual,Second,1086 cc,62 bhp @ 5500 rpm,5,145000
2018,27069,Petrol,Individual,Manual,First,1199 cc,84 bhp @ 6000 rpm,5,409000
2018,43000,Diesel,Individual,Manual,First,1047 cc,69 bhp @ 4000 rpm,5,490000
2019,71000,Diesel,Individual,Manual,First,2393 cc,148 bhp @ 3400 rpm,8,1900000
2017,45600,Diesel,Individual,Automatic,Second,2143 cc,168 bhp @ 3000 rpm,5,3850000
2018,60000,Diesel,Individual,Manual,First,1582 cc,126 bhp @ 4000 rpm,5,1125000
2014,105101,Diesel,Individual,Automatic,First,2143 cc,203 bhp @ 4200 rpm,5,2300000
2016,45000,Petrol,Individual,Automatic,First,1798 cc,138 bhp @ 6400 rpm,5,1095000
2013,66000,Diesel,Individual,Automatic,First,1968 cc,177 bhp @ 4200 rpm,5,1575000
2010,34105,Petrol,Individual,Automatic,First,1796 cc,165@5500,2,2400000
2015,68397,Petrol,Individual,Manual,First,1197 cc,82 bhp @ 6000 rpm,5,525000
2015,65000,Diesel,Individual,Manual,Second,2498 cc,105 bhp @ 3800 rpm,6,625000
2019,27469,Petrol,Individual,Manual,First,1197 cc,83 bhp @ 6000 rpm,5,605000
2016,41058,Petrol,Individual,Automatic,First,998 cc,67 bhp @ 6000 rpm,5,412000
2016,51330,Diesel,Individual,Manual,First,1248 cc,89 bhp @ 4000 rpm,5,625000
2015,45969,Petrol,Individual,Manual,First,1373 cc,91 bhp @ 6000 rpm,5,511000
2017,66602,Diesel,Individual,Automatic,First,1582 cc,126 bhp @ 4000 rpm,5,1150000
2016,57983,Petrol,Individual,Manual,First,1591 cc,122 bhp @ 6400 rpm,5,885000
2019,11183,Petrol,Individual,Automatic,First,999 cc,67 bhp @ 5500 rpm,5,470000
2019,46301,Diesel,Individual,Manual,First,1956 cc,169 bhp @ 3750 rpm,5,1611000
2017,34867,Petrol,Individual,Automatic,Second,1199 cc,84 bhp @ 6000 rpm,5,475000
2015,43634,Diesel,Individual,Manual,First,2494 cc,101 bhp @ 3600 rpm,7,865000
2018,9512,Diesel,Corporate,Automatic,First,1995 cc,190 bhp @ 4000 rpm,5,3800000
2020,11293,Diesel,Individual,Automatic,First,1956 cc,171 bhp @ 3750 rpm,5,2475000
2014,78000,Diesel,Individual,Manual,Second,2179 cc,120 bhp @ 4000 rpm,8,400000
2016,50374,Petrol,Individual,Manual,First,1198 cc,87 bhp @ 6000 rpm,5,440000
2017,15900,Petrol,Individual,Automatic,First,1998 cc,181 bhp @ 5000 rpm,5,2800000
2017,64000,Petrol,Individual,Manual,First,1497 cc,117 bhp @ 6600 rpm,5,645000
2013,78000,Diesel,Individual,Manual,First,1199 cc,74 bhp @ 4200 rpm,5,365000
2021,24000,Petrol,Individual,Manual,First,1462 cc,103 bhp @ 6000 rpm,5,1044999
2019,40310,Petrol,Individual,Manual,Second,1196 cc,73 bhp @ 6000 rpm,7,515000
2015,69700,Petrol,Individual,Automatic,First,1197 cc,79 bhp @ 6000 rpm,5,455000
2012,74073,Diesel,Individual,Automatic,First,1995 cc,184 bhp @ 4000 rpm,5,1800000
2019,73000,Diesel,Individual,Automatic,First,2755 cc,174 bhp @ 3400 rpm,7,3499000
2006,130000,Petrol,Individual,Manual,Third,1799 cc,130 bhp @ 6300 rpm,5,190000
2012,50000,Diesel,Individual,Automatic,First,,,,1250000
2021,24000,Petrol,Individual,Automatic,First,1197 cc,89 bhp @ 6000 rpm,5,775000
2021,43000,Diesel,Individual,Manual,First,1493 cc,99 bhp @ 4000 rpm,5,825000
2016,40500,Diesel,Individual,Automatic,First,1968 cc,141 bhp @ 3500 rpm,5,2250000
2017,49013,Petrol,Individual,Automatic,First,1497 cc,117 bhp @ 6600 rpm,5,865000
2013,64983,Diesel,Individual,Manual,First,1399 cc,68 bhp @ 4000 rpm,5,299000
2017,92270,Petrol,Individual,Manual,First,1199 cc,89 bhp @ 6000 rpm,5,570000
2013,65000,Petrol,Individual,Manual,First,1198 cc,74 bhp @ 5400 rpm,5,385000
2014,110000,Diesel,Individual,Manual,First,1498 cc,99 bhp @ 3600 rpm,5,350000
2017,47000,Petrol,Individual,Automatic,First,2494 cc,179 bhp @ 6000 rpm,5,2345000
2022,10000,Petrol,Individual,Automatic,First,1997 cc,150 bhp @ 5000 rpm,4,1650000
2011,51500,Diesel,Individual,Automatic,Second,2143 cc,207@4200,5,1100000
2018,35000,Diesel,Individual,Automatic,First,1968 cc,184 bhp @ 3500 rpm,5,2900000
2017,61518,Petrol,Individual,Manual,First,1197 cc,83 bhp @ 6000 rpm,5,545000
2018,34000,Diesel,Corporate,Automatic,First,1995 cc,184 bhp @ 4000 rpm,5,2990000
2017,36058,Petrol,Individual,Manual,First,1197 cc,83 bhp @ 6000 rpm,5,615000
2016,88000,Diesel,Individual,Automatic,First,1582 cc,126 bhp @ 4000 rpm,5,890000
2015,98112,Petrol,Individual,Manual,First,1598 cc,103 bhp @ 5250 rpm,5,430000
2013,58000,Diesel,Individual,Automatic,First,2143 cc,170 bhp @ 4200 rpm,5,1650000
2015,92355,Petrol,Individual,Automatic,First,2494 cc,202 bhp @ 5700 rpm,5,1599000
2019,16652,Petrol,Individual,Manual,First,1197 cc,89 bhp @ 6000 rpm,5,691000
2016,76584,Diesel,Individual,Manual,First,1461 cc,108 bhp @ 3900 rpm,5,650000
2015,42500,CNG,Individual,Manual,First,998 cc,58 bhp @ 6200 rpm,5,415000
2016,70000,Diesel,Individual,Manual,First,1248 cc,89 bhp @ 4000 rpm,5,669000
2015,84700,Diesel,Individual,Automatic,Second,2993 cc,258 bhp @ 4000 rpm,5,2950000
2018,83400,Diesel,Individual,Automatic,Second,,,,3900000
2022,2766,Petrol,Individual,Automatic,First,2995 cc,335 bhp @ 5300 rpm,4,16200000
2017,56000,Petrol,Individual,Automatic,Second,1991 cc,241 bhp @ 5500 rpm,4,5100000
2015,68766,Petrol,Individual,Manual,First,1197 cc,82 bhp @ 6000 rpm,5,525000
2018,16339,Petrol,Individual,Manual,First,1591 cc,121 bhp @ 6300 rpm,5,750000
2016,63882,Petrol,Individual,Manual,First,1198 cc,87 bhp @ 6000 rpm,5,445000
2012,28732,Petrol,Individual,Manual,First,1798 cc,138 bhp @ 6400 rpm,5,493000
2017,51349,Petrol,Individual,Manual,First,1197 cc,82 bhp @ 6000 rpm,5,611000
2014,61866,Petrol,Individual,Automatic,First,1197 cc,79 bhp @ 6000 rpm,5,475000
2017,29401,Petrol,Individual,Manual,First,1591 cc,122 bhp @ 6400 rpm,5,925000
2012,98580,Diesel,Individual,Automatic,First,1968 cc,177 bhp @ 3750 rpm,5,1325000
2021,8000,Diesel,Individual,Automatic,First,1995 cc,184 bhp @ 4000 rpm,5,3900000
2020,31348,Diesel,Individual,Manual,First,1497 cc,115 bhp @ 3750 rpm,5,1299000
2018,28851,Diesel,Corporate,Manual,First,1248 cc,74 bhp @ 4000 rpm,5,580000
2013,38175,Petrol,Individual,Manual,First,,,,229000
2021,8519,Petrol,Individual,Manual,First,1997 cc,150 bhp @ 5000 rpm,4,1575000
2011,78000,Petrol,Individual,Manual,First,1497 cc,118@6600,5,375000
2015,48000,Diesel,Individual,Automatic,First,2143 cc,204 bhp @ 4200 rpm,5,2250000
2014,143000,Diesel,Individual,Automatic,Second,2982 cc,169 bhp @ 3600 rpm,7,1400000
2017,39000,Diesel,Commercial Registration,Manual,First,1248 cc,74 bhp @ 4000 rpm,5,425000
2014,24000,Petrol,Individual,Automatic,Second,1598 cc,104 bhp @ 5250 rpm,5,425000
2015,62000,Petrol,Individual,Manual,Second,796 cc,47 bhp @ 6000 rpm,5,250000
2012,78000,Diesel,Individual,Manual,Second,1248 cc,89 bhp @ 4000 rpm,7,425000
2009,48500,LPG,Individual,Manual,Fourth,1086 cc,63@5500,5,120000
2014,82000,Diesel,Individual,Manual,Second,1399 cc,68 bhp @ 4000 rpm,5,235000
2020,40910,Diesel,Individual,Automatic,First,1968 cc,141 bhp @ 3500 rpm,5,3050000
2020,10290,Diesel,Individual,Manual,First,1956 cc,168 bhp @ 3750 rpm,5,2145000
2021,10530,Petrol,Individual,Automatic,First,998 cc,118 bhp @ 6000 rpm,5,1245000
2015,61900,Petrol,Individual,Manual,First,1197 cc,82 bhp @ 6000 rpm,5,549000
2013,78000,Diesel,Individual,Manual,Second,1199 cc,74 bhp @ 4200 rpm,5,484999
2014,57402,Petrol,Individual,Manual,First,1197 cc,85 bhp @ 6000 rpm,5,415000
2013,57000,CNG,Individual,Manual,First,1086 cc,62 bhp @ 5500 rpm,5,200000
2015,87500,Petrol,Individual,Manual,First,1197 cc,81 bhp @ 6000 rpm,5,375000
2021,16000,Electric,Individual,Automatic,First,,,5,1375000
2022,18000,Petrol,Individual,Automatic,First,1353 cc,138 bhp @ 6000 rpm,5,1875000
2020,10700,Petrol,Individual,Automatic,First,1984 cc,188 bhp @ 4200 rpm,5,2950000
2018,78000,Diesel,Individual,Automatic,First,2967 cc,245 bhp @ 2910 rpm,7,4900000
2020,16282,Petrol,Individual,Automatic,First,998 cc,118 bhp @ 6000 rpm,5,1050000
2013,66000,Diesel,Individual,Manual,Third,1582 cc,126 bhp @ 4000 rpm,5,470000
2017,72019,Petrol,Individual,Manual,Second,998 cc,67 bhp @ 6200 rpm,5,345000
2013,195000,Diesel,Individual,Automatic,First,1995 cc,184 bhp @ 4000 rpm,5,1490000
2007,92170,Diesel,Individual,Manual,Second,2609 cc,116@3800,7,550000
2018,55221,Petrol,Individual,Manual,First,1197 cc,81 bhp @ 6000 rpm,5,484999
2018,25000,Diesel,Individual,Automatic,First,2755 cc,174 bhp @ 3400 rpm,7,3350000
2011,58888,Petrol,Individual,Manual,Second,,,,210000
2022,1,Petrol,Individual,Automatic,UnRegistered Car,1984 cc,248 bhp @ 5000 rpm,5,5651000
2020,23500,Petrol,Individual,Manual,First,1498 cc,105 bhp @ 5600 rpm,5,890000
2012,68000,Petrol,Individual,Manual,Second,1197 cc,85 bhp @ 6000 rpm,5,325000
2019,29096,Petrol,Individual,Automatic,First,1591 cc,122 bhp @ 6400 rpm,5,1390000
2016,61223,Petrol,Individual,Manual,First,1197 cc,81 bhp @ 6000 rpm,5,459999
2017,86000,Diesel,Individual,Manual,First,1956 cc,171 bhp @ 3750 rpm,5,1075000
2013,87000,Diesel,Individual,Manual,First,1582 cc,126 bhp @ 4000 rpm,5,484999
2013,79287,Petrol,Individual,Manual,First,1197 cc,83 bhp @ 6000 rpm,5,385000
2018,47009,Diesel,Individual,Automatic,Second,,,,4400000
2018,48945,Diesel,Corporate,Automatic,First,1968 cc,190 bhp @ 3800 rpm,5,3900000
2019,17000,Diesel,Individual,Manual,First,1497 cc,121 bhp @ 3500 rpm,8,1050000
2019,55000,Diesel,Individual,Manual,First,1493 cc,113 bhp @ 4000 rpm,5,1575000
2016,38779,Petrol,Individual,Manual,First,1197 cc,83 bhp @ 6000 rpm,5,655000
2019,72000,Diesel,Individual,Automatic,First,1950 cc,192 bhp @ 3800 rpm,5,4500000
2016,67000,Diesel,Individual,Manual,First,1248 cc,89 bhp @ 4000 rpm,7,865000
2017,67000,Petrol,Individual,Manual,First,1591 cc,121 bhp @ 6300 rpm,5,699000
2012,70000,Diesel,Individual,Manual,Second,1582 cc,126 bhp @ 4000 rpm,5,425000
2020,6000,Diesel,Individual,Automatic,First,1999 cc,177 bhp @ 4000 rpm,7,6500000
2017,46000,Diesel,Individual,Automatic,First,2755 cc,174 bhp @ 3400 rpm,7,2900000
2017,34000,Diesel,Individual,Automatic,First,2143 cc,201 bhp @ 3800 rpm,5,4550000
2015,23103,Petrol,Individual,Manual,First,1197 cc,81 bhp @ 6000 rpm,5,490000
2016,27000,Petrol,Individual,Automatic,First,4663 cc,453 bhp @ 5250 rpm,4,11500000
2019,9576,Petrol,Individual,Automatic,First,1591 cc,122 bhp @ 6400 rpm,5,1475000
2020,27000,Petrol,Individual,Automatic,First,1451 cc,141 bhp @ 5000 rpm,5,1729000
2021,1942,Petrol,Individual,Automatic,First,1498 cc,108 bhp @ 6000 rpm,5,1764999
